version,ihl,tos,len,ip_flags,frag,ttl,proto,ip_options,time,sport,dport,dataofs,reserved,tcp_udp_flags,window,urgptr,tcp_udp_options,land,time_diff,Avg_syn_flag,Avg_urg_flag,Avg_fin_flag,Avg_ack_flag,Avg_psh_flag,Avg_rst_flag,Avg_DNS_pkt,Avg_TCP_pkt,Avg_UDP_pkt,Avg_ICMP_pkt,Duration_window_flow,Avg_delta_time,Min_delta_time,Max_delta_time,StDev_delta_time,Avg_pkts_lenght,Min_pkts_lenght,Max_pkts_lenght,StDev_pkts_lenght,Avg_small_payload_pkt,Avg_payload,Min_payload,Max_payload,StDev_payload,Avg_DNS_over_TCP
4,5,0,69,DF,0,64,6,0,1591102788.780569,60836,1885,8,0,PA,502,0,3,0,0.999871,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.999871,0.999871,0.999871,0.999871,0.0,165.0,82.0,83.0,0.7071067811865476,2.0,33.0,16.0,17.0,0.7071067811865476,0.0
4,5,0,69,DF,0,64,6,0,1591102789.782745,60836,1885,8,0,PA,502,0,3,0,1.002176,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,2.002047,2.002047,0.999871,1.002176,0.001629881130634992,248.0,82.0,83.0,0.5773502691896257,3.0,50.0,16.0,17.0,0.5773502691896258,0.0
4,5,0,69,DF,0,64,6,0,1591102790.784456,60836,1885,8,0,PA,502,0,3,0,1.001711,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,3.003758,3.003758,0.999871,1.002176,0.0012189373787579627,331.0,82.0,83.0,0.5,4.0,67.0,16.0,17.0,0.5,0.0
4,5,0,69,DF,0,64,6,0,1591102791.785409,60836,1885,8,0,PA,502,0,3,0,1.000953,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,4.004711,4.004711,0.999871,1.002176,0.0010064735051985554,414.0,82.0,83.0,0.4472135954999579,5.0,84.0,16.0,17.0,0.4472135954999579,0.0
4,5,0,69,DF,0,64,6,0,1591102792.787464,60836,1885,8,0,PA,502,0,3,0,1.002055,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,5.006766,5.006766,0.999871,1.002176,0.0009558531267930236,497.0,82.0,83.0,0.408248290463863,6.0,101.0,16.0,17.0,0.408248290463863,0.0
4,5,0,69,DF,0,64,6,0,1591102793.788413,60836,1885,8,0,PA,502,0,3,0,1.000949,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,6.007715,6.007715,0.999871,1.002176,0.0008707202574114528,580.0,82.0,83.0,0.3779644730092272,7.0,118.0,16.0,17.0,0.3779644730092272,0.0
4,5,0,69,DF,0,64,6,0,1591102794.790563,60836,1885,8,0,PA,502,0,3,0,1.002150,0.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,7.009865,7.009865,0.999871,1.002176,0.0008593475653629549,663.0,82.0,83.0,0.3535533905932738,8.0,135.0,16.0,17.0,0.3535533905932738,0.0
4,5,0,69,DF,0,64,6,0,1591102795.790960,60836,1885,8,0,PA,502,0,3,0,1.000397,0.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,8.010262,8.010262,0.999871,1.002176,0.0008723942015265478,746.0,82.0,83.0,0.33333333333333337,9.0,152.0,16.0,17.0,0.33333333333333337,0.0
4,5,0,69,DF,0,64,6,0,1591102796.792964,60836,1885,8,0,PA,502,0,3,0,1.002004,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,9.012266,9.012266,0.999871,1.002176,0.0008507278419748064,829.0,82.0,83.0,0.31622776601683794,10.0,169.0,16.0,17.0,0.31622776601683794,0.0
4,5,0,69,DF,0,64,6,0,1591102797.795634,60836,1885,8,0,PA,502,0,3,0,1.002670,0.0,0.0,0.0,0.0,11.0,0.0,0.0,11.0,0.0,0.0,10.014936,10.014936,0.999871,1.00267,0.0009023172883686142,912.0,82.0,83.0,0.30151134457776363,11.0,186.0,16.0,17.0,0.30151134457776363,0.0
4,5,0,69,DF,0,64,6,0,1591102798.795157,60836,1885,8,0,PA,502,0,3,0,0.999523,0.0,0.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,11.014459,11.014459,0.999523,1.00267,0.0010420090559718148,995.0,82.0,83.0,0.28867513459481287,12.0,203.0,16.0,17.0,0.28867513459481287,0.0
4,5,0,69,DF,0,64,6,0,1591102799.799403,60836,1885,8,0,PA,502,0,3,0,1.004246,0.0,0.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,12.018705,12.018705,0.999523,1.004246,0.001305081824324367,1078.0,82.0,83.0,0.2773500981126145,13.0,220.0,16.0,17.0,0.2773500981126145,0.0
4,5,0,69,DF,0,64,6,0,1591102800.798958,60836,1885,8,0,PA,502,0,3,0,0.999555,0.0,0.0,0.0,0.0,14.0,0.0,0.0,14.0,0.0,0.0,13.01826,13.01826,0.999523,1.004246,0.001367534005577286,1161.0,82.0,83.0,0.2672612419124244,14.0,237.0,16.0,17.0,0.2672612419124244,0.0
4,5,0,69,DF,0,64,6,0,1591102801.799988,60836,1885,8,0,PA,502,0,3,0,1.001030,0.0,0.0,0.0,0.0,15.0,0.0,0.0,15.0,0.0,0.0,14.01929,14.01929,0.999523,1.004246,0.001317693314216047,1244.0,82.0,83.0,0.2581988897471611,15.0,254.0,16.0,17.0,0.2581988897471611,0.0
4,5,0,69,DF,0,64,6,0,1591102802.801629,60836,1885,8,0,PA,502,0,3,0,1.001641,0.0,0.0,0.0,0.0,16.0,0.0,0.0,16.0,0.0,0.0,15.020931,15.020931,0.999523,1.004246,0.0012715775241801028,1327.0,82.0,83.0,0.25,16.0,271.0,16.0,17.0,0.25,0.0
4,5,0,68,DF,0,64,6,0,1591102803.802225,60836,1885,8,0,PA,502,0,3,0,1.000596,0.0,0.0,0.0,0.0,17.0,0.0,0.0,17.0,0.0,0.0,16.021527,16.021527,0.999523,1.004246,0.0012446105666030639,1409.0,82.0,83.0,0.3321055820775357,17.0,287.0,16.0,17.0,0.3321055820775357,0.0
4,5,0,69,DF,0,64,6,0,1591102804.804219,60836,1885,8,0,PA,502,0,3,0,1.001994,0.0,0.0,0.0,0.0,18.0,0.0,0.0,18.0,0.0,0.0,17.023521,17.023521,0.999523,1.004246,0.001215311742868035,1492.0,82.0,83.0,0.3233808333817773,18.0,304.0,16.0,17.0,0.3233808333817773,0.0
4,5,0,69,DF,0,64,6,0,1591102805.806198,60836,1885,8,0,PA,502,0,3,0,1.001979,0.0,0.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,18.0255,18.0255,0.999523,1.004246,0.0011873485538102509,1575.0,82.0,83.0,0.3153017676423058,19.0,321.0,16.0,17.0,0.3153017676423058,0.0
4,5,0,69,DF,0,64,6,0,1591102806.807405,60836,1885,8,0,PA,502,0,3,0,1.001207,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,19.026707,19.026707,0.999523,1.004246,0.0011548975043760529,1658.0,82.0,83.0,0.30779350562554625,20.0,338.0,16.0,17.0,0.3077935056255462,0.0
4,5,0,69,DF,0,64,6,0,1591102807.807822,60836,1885,8,0,PA,502,0,3,0,1.000417,0.0,0.0,0.0,0.0,21.0,0.0,0.0,21.0,0.0,0.0,20.027124,20.027124,0.999523,1.004246,0.0011456258046196961,1741.0,82.0,83.0,0.30079260375911915,21.0,355.0,16.0,17.0,0.30079260375911915,0.0
4,5,0,69,DF,0,64,6,0,1591102808.810335,60836,1885,8,0,PA,502,0,3,0,1.002513,0.0,0.0,0.0,0.0,22.0,0.0,0.0,22.0,0.0,0.0,21.029637,21.029637,0.999523,1.004246,0.0011447963636759659,1824.0,82.0,83.0,0.29424494316824984,22.0,372.0,16.0,17.0,0.29424494316824984,0.0
4,5,0,68,DF,0,64,6,0,1591102809.814927,60836,1885,8,0,PA,502,0,3,0,1.004592,0.0,0.0,0.0,0.0,23.0,0.0,0.0,23.0,0.0,0.0,22.034229,22.034229,0.999523,1.004592,0.0013069094148466139,1906.0,82.0,83.0,0.34435022157509093,23.0,388.0,16.0,17.0,0.34435022157509093,0.0
