version,ihl,tos,len,ip_flags,frag,ttl,proto,ip_options,time,sport,dport,dataofs,reserved,tcp_udp_flags,window,urgptr,tcp_udp_options,land,time_diff,Avg_syn_flag,Avg_urg_flag,Avg_fin_flag,Avg_ack_flag,Avg_psh_flag,Avg_rst_flag,Avg_DNS_pkt,Avg_TCP_pkt,Avg_UDP_pkt,Avg_ICMP_pkt,Duration_window_flow,Avg_delta_time,Min_delta_time,Max_delta_time,StDev_delta_time,Avg_pkts_lenght,Min_pkts_lenght,Max_pkts_lenght,StDev_pkts_lenght,Avg_small_payload_pkt,Avg_payload,Min_payload,Max_payload,StDev_payload,Avg_DNS_over_TCP
4,5,0,69,DF,0,64,6,0,1591102888.932077,60836,1885,8,0,PA,502,0,3,0,1.001874,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.001874,1.001874,1.001874,1.001874,0.0,166.0,83.0,83.0,0.0,2.0,34.0,17.0,17.0,0.0,0.0
4,5,0,69,DF,0,64,6,0,1591102889.933624,60836,1885,8,0,PA,502,0,3,0,1.001547,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,2.003421,2.003421,1.001547,1.001874,0.00023122391744800105,249.0,83.0,83.0,0.0,3.0,51.0,17.0,17.0,0.0,0.0
4,5,0,69,DF,0,64,6,0,1591102890.935976,60836,1885,8,0,PA,502,0,3,0,1.002352,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,3.005773,3.005773,1.001547,1.002352,0.0004048534714354483,332.0,83.0,83.0,0.0,4.0,68.0,17.0,17.0,0.0,0.0
4,5,0,69,DF,0,64,6,0,1591102891.937147,60836,1885,8,0,PA,502,0,3,0,1.001171,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,4.006944,4.006944,1.001171,1.002352,0.0005011473502540612,415.0,83.0,83.0,0.0,5.0,85.0,17.0,17.0,0.0,0.0
4,5,0,69,DF,0,64,6,0,1591102892.938181,60836,1885,8,0,PA,502,0,3,0,1.001034,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,5.007978,5.007978,1.001034,1.002352,0.0005356512858194219,498.0,83.0,83.0,0.0,6.0,102.0,17.0,17.0,0.0,0.0
4,5,0,69,DF,0,64,6,0,1591102893.941697,60836,1885,8,0,PA,502,0,3,0,1.003516,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,6.011494,6.011494,1.001034,1.003516,0.0009188002321868812,581.0,83.0,83.0,0.0,7.0,119.0,17.0,17.0,0.0,0.0
4,5,0,69,DF,0,64,6,0,1591102894.940580,60836,1885,8,0,PA,502,0,3,0,0.998883,0.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,7.010377,7.010377,0.998883,1.003516,0.0014203385578965386,664.0,83.0,83.0,0.0,8.0,136.0,17.0,17.0,0.0,0.0
4,5,0,69,DF,0,64,6,0,1591102895.943337,60836,1885,8,0,PA,502,0,3,0,1.002757,0.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,8.013134,8.013134,0.998883,1.003516,0.0013900480721389253,747.0,83.0,83.0,0.0,9.0,153.0,17.0,17.0,0.0,0.0
4,5,0,69,DF,0,64,6,0,1591102896.943508,60836,1885,8,0,PA,502,0,3,0,1.000171,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,9.013305,9.013305,0.998883,1.003516,0.0013896220709243214,830.0,83.0,83.0,0.0,10.0,170.0,17.0,17.0,0.0,0.0
4,5,0,69,DF,0,64,6,0,1591102897.945684,60836,1885,8,0,PA,502,0,3,0,1.002176,0.0,0.0,0.0,0.0,11.0,0.0,0.0,11.0,0.0,0.0,10.015481,10.015481,0.998883,1.003516,0.0013285941149283411,913.0,83.0,83.0,0.0,11.0,187.0,17.0,17.0,0.0,0.0
