,version,ihl,tos,len,ip_flags,frag,ttl,proto,ip_options,time,sport,dport,dataofs,reserved,tcp_udp_flags,window,urgptr,tcp_udp_options,land,Avg_syn_flag,Avg_urg_flag,Avg_fin_flag,Avg_ack_flag,Avg_psh_flag,Avg_rst_flag,Avg_DNS_pkt,Avg_TCP_pkt,Avg_UDP_pkt,Avg_ICMP_pkt,Duration_window_flow,Avg_delta_time,Min_delta_time,Max_delta_time,StDev_delta_time,Avg_pkts_lenght,Min_pkts_lenght,Max_pkts_lenght,StDev_pkts_lenght,Avg_small_payload_pkt,Avg_payload,Min_payload,Max_payload,StDev_payload,Avg_DNS_over_TCP,label
12,4,5,0,202,0,0,1,17,0,1590746447.4205132,65525,1900,5.8105590062111805,0.0,0,2408.9285714285716,0.0,1.1946902654867257,0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,8.0,0.0,4.9458150000000005,4.9458150000000005,0.0050409999999999995,1.000205,0.4745688599091572,2396.0,54.0,305.0,106.7343935628566,5.0,6.0,0.0,6.0,2.683281572999748,0.0,mice_flow
13,4,5,0,291,0,0,128,17,0,1590746447.457026,54915,54915,5.8105590062111805,0.0,0,2408.9285714285716,0.0,1.1946902654867257,1,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,9.0,0.0,4.982328,4.982328,0.0050409999999999995,1.000205,0.4661564083429152,2701.0,54.0,305.0,107.50060056055092,5.0,6.0,0.0,6.0,2.683281572999748,0.0,mice_flow
14,4,5,0,196,1,0,1,17,0,1590746447.973044,41824,1900,5.8105590062111805,0.0,0,2408.9285714285716,0.0,1.1946902654867257,0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,10.0,0.0,5.498346,5.498346,0.0050409999999999995,1.000205,0.4492719179249912,2911.0,54.0,305.0,103.68390608456251,5.0,6.0,0.0,6.0,2.683281572999748,0.0,mice_flow
15,4,5,0,291,0,0,128,17,0,1590746448.469607,54915,54915,5.8105590062111805,0.0,0,2408.9285714285716,0.0,1.1946902654867257,1,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,11.0,0.0,5.994909,5.994909,0.0050409999999999995,1.000205,0.4337584190904294,3216.0,54.0,305.0,103.93651908737371,5.0,6.0,0.0,6.0,2.683281572999748,0.0,mice_flow
16,4,5,0,196,1,0,1,17,0,1590746448.974065,41824,1900,5.8105590062111805,0.0,0,2408.9285714285716,0.0,1.1946902654867257,0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,12.0,0.0,6.4993669999999995,6.4993669999999995,0.0050409999999999995,1.000205,0.4198686473134138,3426.0,54.0,305.0,100.65977203372931,5.0,6.0,0.0,6.0,2.683281572999748,0.0,mice_flow
17,4,5,0,291,0,0,128,17,0,1590746449.48348,54915,54915,5.8105590062111805,0.0,0,2408.9285714285716,0.0,1.1946902654867257,1,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,13.0,0.0,7.008782000000001,7.008782000000001,0.0050409999999999995,1.000205,0.4073059243808277,3731.0,54.0,305.0,100.65363180119851,5.0,6.0,0.0,6.0,2.683281572999748,0.0,mice_flow
18,4,5,0,196,1,0,1,17,0,1590746449.975061,41824,1900,5.8105590062111805,0.0,0,2408.9285714285716,0.0,1.1946902654867257,0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,14.0,0.0,7.500363,7.500363,0.0050409999999999995,1.000205,0.3955866040348107,3941.0,54.0,305.0,97.81974112818928,5.0,6.0,0.0,6.0,2.683281572999748,0.0,mice_flow
19,4,5,0,52,1,0,54,6,0,1590746450.2591891,80,34927,8.0,0.0,1,275.0,0.0,3.0,0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,14.0,0.0,7.784491,7.784491,0.0050409999999999995,1.000205,0.3856420297766763,4007.0,54.0,305.0,100.3248801591478,6.0,6.0,0.0,6.0,2.449489742783178,0.0,mice_flow
20,4,5,0,52,1,0,64,6,0,1590746450.259235,34927,80,8.0,0.0,1,501.0,0.0,3.0,0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,14.0,0.0,7.784536999999999,7.784536999999999,4.6e-05,1.000205,0.3863724244112116,4073.0,54.0,305.0,102.08500192999762,7.0,6.0,0.0,6.0,2.2677868380553634,0.0,mice_flow
21,4,5,0,291,0,0,128,17,0,1590746450.497212,54915,54915,5.8105590062111805,0.0,0,2408.9285714285716,0.0,1.1946902654867257,1,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,15.0,0.0,8.022514,8.022514,4.6e-05,1.000205,0.37803283691560696,4378.0,54.0,305.0,102.3993117536395,7.0,6.0,0.0,6.0,2.2677868380553634,0.0,mice_flow
