version,ihl,tos,len,ip_flags,frag,ttl,proto,ip_options,time,sport,dport,dataofs,reserved,tcp_udp_flags,window,urgptr,tcp_udp_options,land,time_diff,Avg_syn_flag,Avg_urg_flag,Avg_fin_flag,Avg_ack_flag,Avg_psh_flag,Avg_rst_flag,Avg_DNS_pkt,Avg_TCP_pkt,Avg_UDP_pkt,Avg_ICMP_pkt,Duration_window_flow,Avg_delta_time,Min_delta_time,Max_delta_time,StDev_delta_time,Avg_pkts_lenght,Min_pkts_lenght,Max_pkts_lenght,StDev_pkts_lenght,Avg_small_payload_pkt,Avg_payload,Min_payload,Max_payload,StDev_payload,Avg_DNS_over_TCP,label
4,5,0,69,0,0,64,6,0,1591102788.7805688,60836,1885,8,0,0,502,0,3,0,0.999871,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.999871,0.999871,0.999871,0.999871,0.0,165.0,82.0,83.0,0.7071067811865476,2.0,33.0,16.0,17.0,0.7071067811865476,0.0,-1
4,5,0,69,0,0,64,6,0,1591102789.782745,60836,1885,8,0,0,502,0,3,0,1.002176,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,2.002047,2.002047,0.999871,1.002176,0.001629881130634992,248.0,82.0,83.0,0.5773502691896257,3.0,50.0,16.0,17.0,0.5773502691896258,0.0,-1
4,5,0,69,0,0,64,6,0,1591102790.784456,60836,1885,8,0,0,502,0,3,0,1.001711,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,3.0037580000000004,3.0037580000000004,0.999871,1.002176,0.0012189373787579627,331.0,82.0,83.0,0.5,4.0,67.0,16.0,17.0,0.5,0.0,-1
4,5,0,69,0,0,64,6,0,1591102791.785409,60836,1885,8,0,0,502,0,3,0,1.000953,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,4.004711,4.004711,0.999871,1.002176,0.0010064735051985554,414.0,82.0,83.0,0.4472135954999579,5.0,84.0,16.0,17.0,0.4472135954999579,0.0,-1
4,5,0,69,0,0,64,6,0,1591102792.7874641,60836,1885,8,0,0,502,0,3,0,1.002055,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,5.006766000000001,5.006766000000001,0.999871,1.002176,0.0009558531267930237,497.0,82.0,83.0,0.40824829046386296,6.0,101.0,16.0,17.0,0.40824829046386296,0.0,-1
4,5,0,69,0,0,64,6,0,1591102793.788413,60836,1885,8,0,0,502,0,3,0,1.000949,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,6.007715,6.007715,0.999871,1.002176,0.0008707202574114528,580.0,82.0,83.0,0.3779644730092272,7.0,118.0,16.0,17.0,0.3779644730092272,0.0,-1
4,5,0,69,0,0,64,6,0,1591102794.790563,60836,1885,8,0,0,502,0,3,0,1.00215,0.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,7.009865,7.009865,0.999871,1.002176,0.0008593475653629549,663.0,82.0,83.0,0.3535533905932738,8.0,135.0,16.0,17.0,0.3535533905932738,0.0,-1
4,5,0,69,0,0,64,6,0,1591102795.79096,60836,1885,8,0,0,502,0,3,0,1.000397,0.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,8.010261999999999,8.010261999999999,0.999871,1.002176,0.0008723942015265478,746.0,82.0,83.0,0.33333333333333337,9.0,152.0,16.0,17.0,0.33333333333333337,0.0,-1
4,5,0,69,0,0,64,6,0,1591102796.792964,60836,1885,8,0,0,502,0,3,0,1.0020040000000001,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,9.012266,9.012266,0.999871,1.002176,0.0008507278419748063,829.0,82.0,83.0,0.31622776601683794,10.0,169.0,16.0,17.0,0.31622776601683794,0.0,-1
4,5,0,69,0,0,64,6,0,1591102797.795634,60836,1885,8,0,0,502,0,3,0,1.0026700000000002,0.0,0.0,0.0,0.0,11.0,0.0,0.0,11.0,0.0,0.0,10.014936,10.014936,0.999871,1.0026700000000002,0.0009023172883686143,912.0,82.0,83.0,0.30151134457776363,11.0,186.0,16.0,17.0,0.30151134457776363,0.0,-1
